src,tgt,dataset,human,annotator_1,annotator_2
"Eğer işe yararsa, ülke çapında yayılabilir.","Eğer bu şey çalışıyorsa, Ulusal olabilir.",ost,2,2,3
Onu sadece orada tutmalarını söylemedin mi?,Sadece onu tutmalarını istemedin mi?,ost,3,3,3
İyi yanı falan yok Papaz Flanagan.,İyi tarafı yok Peder Flanagan.,ost,3,3,3
"Oraya gitmek, işin en kolay kısmı, Bay Paris.","Oraya varmak en kolay kısmı, Bay Paris.",ost,2,2,3
Binbaşı kütle spektrometresi yine iş başında.,Binbaşı Kütle Spektrometresi oyuna geri döndü.,ost,2,2,3
"Belki daha fazla, uzaklığa göre değişir.","Belki daha fazla, mesafeye göre değişir.",ost,3,3,3
Şimdilik hiçbir şey olmamış gibi davranmalıyız.,İnkâr şu anda dostumuz olmalı.,ost,-1,2,0
Şu an gerçekten canım köri istiyor.,Canım köri çekti.,ost,3,3,3
"Baksana, sevgilim, jartiyerin ne kadar sıkı.","Bak sevgilim, jartiyerin ne kadar sıkı.",ost,3,3,3
Sadece bir saniye burayı dinleyin lütfen.,"Dikkatinizi bana verir misiniz, lütfen?",ost,1,1,2
Bu yüzden bu işi yapmaya başladım.,Bu yüzden bunu yapmaya başladım.,ost,3,3,3
SG1'e geçici bir üye vereceğim.,SG1'in yerine geçici bir yedek koyacağım.,ost,1,2,1
Yürürken beni bile zar zor tanıyorlar.,Geçerken beni tanımıyorlar bile.,ost,2,2,2
Yaklaşık bir saat sonra ateşi karıştırdım.,Yaklaşık bir saat sonra yangını ateşledim.,ost,1,2,1
Bankadan gelen bir mektup arazin hakkında.,Bankadan arazinle ilgili bir mektup.,ost,3,3,3
Benim babam ne yapmış ki onlara?,Babam onlara ne yaptı?,ost,3,3,3
Ama kendimi çok kötü hissetmemi sağladın!,Ama kendimi kötü hissetmemi sağladın!,ost,3,3,3
Görünen o ki boşanma bir seçenek.,Görünüşe göre bu da bir seçenek.,ost,0,1,0
Gerçek şu ki ve bu gerçek,"Gerçek şu ki, gerçek bu.",ost,2,2,3
Benim inanmamla ilgisi yok bu mevzunun.,Bu benim kesinliğimle ilgili değil.,ost,0,0,1
Hepsi de o geniş gönlünden kopup geliyor.,Hepsi kalbinin büyüklüğünden dolayı.,ost,2,2,2
Fakat bu öyle uzun bir yol ki.,Ama bu çok uzun bir yol.,ost,2,2,3
Kaç para bu oda biliyor musun?,Bu odanın bana ne kadara mal olduğunu biliyor musun?,ost,2,2,2
"Eğer yardım edersem, eve gidebilir miyim?","Sana yardım edersem, eve gidebilir miyim?",ost,3,3,3
Sadece bir tanesi tasir onu ise giderken.,Sadece biri onları işe götürür.,ost,2,3,2
Çin'i kurtarmak isteyen bir kahraman,Kudretli Japonya'yla savaşmış gibi görünüyor!,ost,0,0,0
Biraz ittireceksin ve son yolculuk başlayacak.,Sadece küçük bir ıkınma ve son bir tur.,ost,2,2,2
ya bir şeyler yanlış giderse diye?,Ya bir şeyler ters giderse?,ost,3,3,3
Belki sen göbeğimi kaşımama izin verirsin.,Belki karnımı kaşımana izin veririm.,ost,1,1,1
Bana şimdi bir resim çizer misin?,Şimdi resmimi çizebilir misin?,ost,1,1,1
Benimle aynı evde yaşamak ister misin?,Yanıma taşınmak ister misin?,ost,3,3,3
Ben senin Omega'nı almam Baba.,Senin Omega'nı alamam baba.,ost,2,2,3
Beni hemen Maria ve Maria'nın yanına götürün.,Beni Maria ve Maria'ya yönlendirebilirsin.,ost,2,2,2
"Başka şeyler de var, öyle değil mi?","Daha fazlası var, değil mi?",ost,3,3,3
Korsak ile davayı biz alalım mı?,Korsak'la benim almamızı ister misin?,ost,-1,1,3
Ayrıca bunu artık yapmak zorunda değilsin.,Ve artık bunu yapmak zorunda değilsin.,ost,3,3,3
Zaten nasıl bir planım olabilir ki?,"Yani, hadi ama, nasıl bir planım olabilir ki?",ost,2,2,3
"Üzüntü verici, ama bu komutayı bana bırakacak.",Pişmanım ama komutayı bana bırakacaktır.,ost,1,1,1
Ben de neyi isterdim biliyor musun?,Ne güzel olurdu biliyor musun?,ost,-1,1,3
Beni temize çikarman için tuttum seni.,Seni bu işten kurtulman için tuttum.,ost,1,1,1
Nasıl oldu da bırakmadı sultan seni?,Sultan neden gitmene izin vermedi?,ost,2,2,3
Beyin ölümünü onaylamak için EEG yaptınız mı?,Beyin ölümünü doğrulamak için EEG yaptınız mı?,ost,3,3,3
Bunun benimle ve Nate'le ilgisi yok.,Nate'le benim aramda bir şey yok.,ost,1,1,1
Japon halkına tanıtmıştım ve buna bayıldılar.,Japonlara ve çok sevdiler.,ost,0,0,0
Ne zamandan beri iki işi aynı anda yapamıyorum?,Ne zamandan beri aynı anda iki şey yapamıyorum?,ost,3,3,3
Yine de pek çoğu güvenlerini yitirdi.,Yine de çoğu rüzgara kapıldı.,ost,-1,2,0
"Baya büyük bir şov olacak, merak etmeyesin.","Hayır, büyük bir gösteri olacak, merak etme.",ost,1,2,1
Bu da demektir ki Jackson tamamen delirmemiş.,Bu da Jackson'ın tamamen deli olmadığı anlamına geliyor.,ost,3,3,3
Bunlar artık Mulligan'ın topları değil.,Onlar artık Mulligars havan topları değil.,ost,2,2,2
Ş  imdi de izin mi almam gerekiyor?,Şimdi izin mi almam gerekiyor?,ost,3,3,3
Blaster'ın bana ilgi duymasını istiyorum.,Benimle ilgilenmesini istiyorum.,ost,-1,1,3
Seni yetiştirmek için çok emek ve zaman harcadım,Sana çok zaman ve çaba harcadım.,ost,2,2,2
"Evet, ama Bart'da paçayı zor yırttım.","Evet, ama Bart kıl payı kurtuldu.",ost,-1,3,1
Tek sebebin bu olduğuna emin değilim.,Tek sebebin bu olduğundan emin değilim.,ost,3,3,3
Paris'in yarısını kat etmemiz gerekir.,Paris'in yarısını yürümek zorunda kalırız.,ost,-1,1,3
Benim de gizli bir yanım var.,Benim de gizli bir benliğim var.,ost,2,2,2
Ve ben günü yaşıyorum sevdiğim şeyi yapıyorum.,"Ve bugün için yaşıyorum, ve yaptığım işten zevk alıyorum.",ost,3,3,3
"Tamam, kimse hiç bir şeye işemiyor.","Tamam, kimse bir şeye işemiyor.",ost,3,3,3
O halde ben de yeterince iyiyim.,O zaman ben de iyiyim.,ost,3,3,3
Bu karı hepimizden daha taşaklıymış çocuklar.,"Hepimizden daha cesur, çocuklar.",ost,2,2,3
Bu ay üçüncü kez olmuştu bu.,Bu ay üçüncüydü.,ost,3,3,3
Yerel Hooters'a başvuru vakti geldi.,Sanırım yerel Hooters'ıma başvurmanın zamanı geldi.,ost,2,3,2
Saat 10'da Floransa'da oluruz.,Saat 10:00'da Floransa'da olacağız.,ost,3,3,3
Bak itiraf etmem gerken bir şey var.,"Bak, bir itirafta bulunacağım.",ost,3,3,3
"Matthew, bu hiç komik değil be oğlum.","Matthew, bu hiç komik değil, evlat.",ost,3,3,3
Evlenirken hiç kimse sahte isim kullanmaz.,Kimse düğünlerde sahte isim kullanmaz.,ost,2,2,2
Rex öğleden sonra gidip çeki aldı.,Rex bu öğleden sonra anlaşmayı aldı.,ost,2,2,2
"Evet, acilen bir ambulans istiyorum, lütfen.","Evet, ambulansa ihtiyacım var, lütfen.",ost,2,2,3
"Hadi ama, ne halt yediğini sanıyor bu herif?","Hadi ama, bu adam ne yapıyor?",ost,2,3,2
Issız ve küçük bir köy vardı.,Köy küçük ve yoldan çekilmiştir.,ost,1,1,1
Bana da bir tane alana kadar değil.,Bana bir tane verene kadar olmaz.,ost,3,3,3
Ben size koşa koşa gelir demedim mi?,Sana koşa koşa geleceğini söylemedim mi?,ost,2,2,3
Bütün bunları bir kenara mı atacaksın?,Hepsini atmak mı istiyorsun?,ost,0,1,0
Yeni deri çıkarmış bir uzaylı olabilir.,Derisini döken bir uzaylı olabilir.,ost,2,3,2
Birleşme sağlayarak her şeyi riske attın.,Bizi birleştirmek için her şeyi riske attın.,ost,1,2,1
Bunu Pazartesi günü Beyaz Saray'da takacağım.,Pazartesi günü Beyaz Saray'da giyeceğim.,ost,2,2,2
"Evet lan, bende, adamım, hadi alalım.","Evet, o iş bende dostum, hadi yapalım.",ost,-1,1,3
"Bildiğiniz gibi, bölgede birçok çalkantı var.","Bildiğiniz gibi, çok fazla huzursuzluk var.",ost,1,2,1
"Evet, siz iyi bir insansınız, Bayan Winthrop.","Evet, emin ellerdesiniz Bayan Winthrop.",ost,0,0,0
"Sağ elinle tutup yaz, sol elinle hizala.","Sağ elinde tebeşir, solunda tahta.",ost,0,0,1
Hadi bana bir tuz kesesi uzatın efendim.,"Buraya biraz tuz atayım, efendim.",ost,0,1,0
"Bak, gelip onu kendin görmen gerek.","Bak, onu kendin görmelisin.",ost,2,2,3
"Çarpıcı cümleler bulmam gerekiyor, o kadar.","Hook, doğru kancaya ihtiyacım var, hepsi bu.",ost,0,0,1
İlk defa senden bir şey istiyorum!,Senden bir şey istediğim tek sefer!,ost,2,3,2
Tori Amos'a bir mektup yazmıştım.,Tori amos'a bir mektup yazdım.,ost,3,3,3
Bunla ilgili notlara bakmak ister misin?,Üzerindeki notlara bakmak ister misin?,ost,2,2,3
Ona zarar vermeyi aklından bile geçirme artık.,Onu daha fazla incitmeye cüret etme.,ost,2,2,3
"Yüzünün her yerinde 2,000 dolar yazıyordu.",Adamın yüzünde 2000 dolar yazılıydı.,ost,2,2,3
Gustave en az bir mil ötede.,Gustave en az bir mil uzakta.,ost,3,3,3
Önceki tuhaf davranışlarım için özür dilerim.,İşler daha önce tuhaflaştığı için özür dilerim.,ost,1,2,1
Bu işte parmağın var ve bunu kanıtlayabilirim.,Ellerin her yerde ve bunu kanıtlayabilirim.,ost,1,1,1
Eğer bana yardım edersen sana çok para veririm.,"Bana yardım edersen, seni zengin ederim.",ost,2,2,2
Dua etmem için beni banyoya kapatırdı.,Dua etmem için beni banyoya koyardı.,ost,2,2,3
En azından param bok yoluna gitmeyecek.,En azından param boşa gitmeyecek.,ost,2,2,3
Buraya ilk İkinci Takım geldi efendim.,İkinci müfreze önce geldi.,ost,2,2,3
Bunu kanıtlamak için birine ihtiyacım olacak.,Bunu kanıtlayacak birine ihtiyacım var.,ost,2,2,2
"Bilmiyo'm, kuşkusuz um'rumda da değil.","Hayır, umurumda değil. Ve kesinlikle umurumda da değil.",ost,0,0,1
Burada onun anlamını bilen tek kişi ben miyim?,Bunu duyan tek kişi ben miyim?,ost,1,1,1
"Yani atladı mı, yoksa ittin mi?",Atladı mı yoksa sen mi ittin?,ost,3,3,3
"Çok genç, inşallah ne yaptığını biliyordur.","Çok genç, umarım ne yapacağını biliyordur.",ost,2,2,2
Sekiz ay önce bahar tatili olmuştu.,Sekiz ay önce bahar tatiliydi.,ost,3,3,3
Etrafımdaki en yakışıklı genç o idi.,Etrafımdaki en yakışıklı çocuktu.,ost,3,3,3
Tüm yatırımımı bu plan için harcadım.,Tüm birikimlerimi bu plana yatırdım.,ost,-1,3,1
"Belki de o, kirayı böyle ödüyordu.",Belki de kirayı ödemek için çalışıyordu.,ost,1,1,1
Toprağın üzerindeki her gün Pyrrhic bir zafer.,Yerden her gün Pyrrhic zaferi.,ost,1,1,2
Onun da senin gibi dar omuzları vardı.,Onun da senin gibi küçük omuzları vardı.,ost,2,3,2
Onu tekrar görmenin yanından bile geçemezsin.,Onu bir daha görmeye bile yaklaşamadın.,ost,-1,1,3
Keşke bana bir kere olsun yine seslensen.,Keşke bir kez olsun beni arasaydın.,ost,1,1,2
"Seni hayatta ve tek parça görmek güzel, Jonas.",Seni canlı görmek güzel Jonas.,ost,2,3,2
Beni senden yardım istediğime pişman etme.,Lütfen sana sorduğum için beni pişman etme.,ost,2,2,2
"Evet, ona ne kadar ödediğinizi biliyorum.","Evet, ona ne kadar ödediğini biliyorum.",ost,2,2,3
"Sanırım, Nick Fisher kimdi demek istedin?",Sanırım demek istediğin Nick Fisher kimdi?,ost,3,3,3
"O adamı bekliyorum, hani şu şeyi olan",Şeyli adamı bekliyorum.,ost,2,2,3
Yani bir ilmek laboratuvarı olmasa da.,"Yani, bilirsin, dikiş laboratuvarı yok ama yine de.",ost,1,1,1
Serumdan 125 miligram Solu Medrol verdik.,Ona 125 miligram SoluMedrol verdim.,ost,3,3,3
Sadece o çizmeleri niye hademeler alsın ki?,Neden bir hademe o çizmeleri alsın ki?,ost,2,2,3
Bir insan nasıl böyle bir şey yapabilir?,Bu adam ülkesinden gerçekten nefret ediyor.,ost,0,1,0
Acı geçmişi de onunla birlikte göm.,Yanında gömülüyken de işkence görmüş.,ost,0,0,0
Git Marcia ve Peter'ı bul da yolunu bak bari.,Git Marcia ve Peter'ı bul ve git.,ost,-1,3,1
Bütün geceyi o aptal şeye bakarak geçirrdim.,Bütün gece o aptal şeyi aradım.,ost,2,3,2
Senin lanet olası kuklan filan olmayacağım ben!,Senin kuklan olmayacağım!,ost,2,2,2
"Hayır, bildiğine dair hiçbir fikrim yok.","Hayır, biliyor mu bilmiyorum.",ost,2,3,2
"Sizin beden kaç, yaklaşık 34, 36 mı?","Nesin sen, 34-36 yaşlarında mı?",ost,1,1,1
"Dünyanın en mutlu insanıydım ki, aniden",Dünyanın zirvesindeydim ve sonra...,ost,1,2,1
"Geri döndüm, ama kimse yerini bilmiyor.","Geri geldim, kimse nerede olduğunu bilmiyor.",ost,2,3,2
Artık her ne ise canlı değil.,"Canlı değil, her neyse.",ost,2,2,3
Bu teste kadar 2 saatim var.,Bu teste girmek için iki saatim var.,ost,2,3,2
"Tamam, dostum bunu yapmana gerek yok.","Tamam dostum, bunu yapmak zorunda değilsin.",ost,3,3,3
Belki hana vardığımızda orada buluruz onu.,Belki oraya vardığımızda handa olur.,ost,3,3,3
"Çocuk yükselmek istiyor, pek zeki değil.","Çocuk bir dağcı, pek zeki değil.",ost,0,1,0
O yüzden herkes ona Ally diyordu.,Herkes ona Ally dedi.,ost,1,2,1
Kurt gündüzleri dinlenir ve geceleri ava çıkar.,Kurt gündüzleri dinlenir ve geceleri pusuya yatar.,ost,2,2,3
"Yapma, o kadar da kötü değil.","Hadi ama, o kadar da kötü değil.",ost,3,3,3
İçeri mi gireyim yoksa dışarı mı çıkayım?,"Giriyor muyum, çıkıyor muyum?",ost,2,2,2
Canına yandığımın FBI'ında koridor bekçisi!,FBI için koridor monitörü!,ost,0,1,0
"Bay Mathur, sen ve ben aynıyız.","Bay Mathur, siz ve ben aynıyız.",ost,3,3,3
"Kaçmaya kalkma, seni yabancı ülkelere satarım.",Kaçma yoksa seni yurtdışına satarım.,ost,3,3,3
O kadar ileri gidip kendini içeri attırma.,"O kadar uzağa gitme, seni gerçekten hapse atarlar.",ost,2,2,3
Ama bir göz doktoruna görünmen lazım bence.,Ama bence gözlerini kontrol ettirmelisin.,ost,3,3,3
Bu çaydanlığın kullanma kılavuzu var mı?,Bu çömlek yol tarifleriyle birlikte mi geliyor?,ost,0,1,0
Şeyh Hulud'un bize gönderdiği peygambersin.,Sen Shaihulud'un gönderdiği peygambersin.,ost,2,2,3
Erkekler onun için birbirleriyle kavga ederdi.,Eskiden erkekler onun için kavga ederdi.,ost,3,3,3
"İçime kötü bir his doğdu, Boyd.",İçimde kötü bir his var Boyd.,ost,3,3,3
Ona bir mektup yazarsın diye düşünmüştüm.,Ona bir mektup yazabilirsin diye düşündüm.,ost,2,3,2
Onu bir kanoya bindir ve gönder.,Onu bir kanoya koy ve geri gönder.,ost,2,2,3
Beni tekrar İngiltere'ye götürmen gerek.,Beni İngiltere'ye geri götürmeni istiyorum.,ost,3,3,3
Ve üste geçeyim derken tavana toslarlar.,Sonra tavana çarparlar.,ost,1,1,1
Daha önce hiç bir ünlüyle tanışmamıştım.,Daha önce hiç ünlü biriyle tanışmamıştım.,ost,3,3,3
Bay Godot'dan mesaj mı getirdin?,Bay Godot'tan bir mesajınız var mı?,ost,-1,1,3
Babam kazadan uzun süre önce ölmüş.,Babam kazadan çok önce ölmüştü.,ost,3,3,3
"Walsh, bunu Çavuş Brown'a anlatmalıyız.","Walsh, Çavuş Brown'a söylemeliyiz.",ost,3,3,3
Yanımda olduğunu bilmek bana güven veriyor.,Burada olduğunu bilmek bile kendimi güvende hissettiriyor.,ost,2,2,3
Hayatınıza bir son vermenin en kolay yolu.,Hayatlarınızı sona erdirmek daha kolay.,ost,0,0,1
Ve çölde bir yaşam daha yanıp gidiyor.,Çölde başka bir alev daha yanıyor.,ost,1,1,1
O 2 ayı unutmayı kendi seçti.,O iki ayı unutmayı seçti.,ost,3,3,3
"Hadi kazanalım, ona bir veda hediyesi olsun.",Kazanıp ona bir veda hediyesi alalım.,ost,2,2,3
Leslie Winkle ile 2 tek gecelik ilişki.,Leslie Winkle'la iki seks görüşmesi.,ost,2,2,3
I'm not making that a thing.,Ben öyle bir şey yapmıyorum.,ost,0,0,1
İçiniz rahat eder mi o zaman?,Bu seni daha iyi hissettirir mi?,ost,2,3,2
Yani bir yok etme iksiri yapabiliriz.,Böylece bir yok etme iksiri yapabiliriz.,ost,2,2,3
Bu yüzden büyük bir kuş aldım.,"Yani, bu yüzden çok büyük bir kuş.",ost,1,1,1
Bu harika bir eski oyuncak bebek.,Çok şık bir bebek.,ost,1,1,1
İşler yeni yeni normale dönmeye başlamıştı.,Her şey normale dönüyordu.,ost,2,2,2
"Tüm bunlar, onun için oldukça zordu.",Onun için çok zordu.,ost,1,1,2
Şimdi de bunu şu sürünün üzerinde deneyelim.,Hadi şu sürüyü çalıştıralım.,ost,1,1,1
Türümün son örneği olmam gerektiğine de,Türümün son örneği olacağımı.,ost,2,2,3
Bu tür bir şey mi duymak istersiniz?,Bu tür şeyleri duymak ister misin?,ost,2,2,2
Peki sen bu durumda ne yaptın?,O durumda ne yaptın?,ost,3,3,3
Ben ne zaman içki içermisin diye sordum!,Ben ne zaman içki istedim?,ost,1,1,1
Sizin için bi tane daha var.,Bir tane daha var.,ost,1,2,1
"Haydi ama, seni göğüslerime bakarken gördüm.","Hadi ama, seni göğsüme bakarken gördüm.",ost,3,3,3
"Evet, bir bardak kahve bunu kapatır.","Evet, bir fincan kahve yeterli olur.",ost,2,2,2
"Bay Wolfe, bir şey çıktı mı?","Bay Wolfe, beni mi arıyordunuz?",ost,0,1,0
Neden bizi karşısına alsın ki şimdi?,Neden şimdi bize sırt çevirsin ki?,ost,1,1,1
Bu yüzden çölden uzak durmak istersin.,Bu yüzden çölden uzak durmak istiyorsun.,ost,2,2,3
Raffaele ve ben bunu çoktan anlamıştık!,Raffaele'le ben olayı çözdük bile!,ost,2,2,3
Ya da köpeğini Belize'ye götürür?,Yoksa köpeğini Belize'ye mi götürüyor?,ost,2,2,2
"Epey bir sorumluluk gerektirir, değil mi?","Bu büyük bir sorumluluk, değil mi?",ost,2,2,3
"Genç bir kızla birlikte yaşıyorum, Anna.",Anna adında genç bir kızla yaşıyorum.,ost,2,2,2
"Onun en sadık hastaların biri olacak,",Onun en sadık hastalarından biri olacak.,ost,2,2,3
O yüzden eğitime geri dönebilir miyiz lütfen?,Antrenmana geri dönebilir miyiz lütfen?,ost,2,2,2
Bu hepimiz için çok güzel bir ders.,Hepimizin sevdiği çok güzel bir konu.,ost,1,1,2
burası amcam'ın çalışma odasının kapısı.,Bu amcamın çalışma odasının kapısı.,ost,3,3,3
Beni odaya sen kilitledin değil mi?,"Beni odama kilitledin, değil mi?",ost,2,3,2
Bir an için sizi görebilir miyim?,Bir dakika görüşebilir miyiz?,tat,2,2,2
Lütfen biraz daha hızlı sürer misin?,Biraz daha hızlı sürebilir misin?,tat,3,3,3
Tom'un yazdığı kitap asla yayınlanmadı.,Tom'un yazdığı kitap hiç yayınlanmadı.,tat,3,3,3
Seni gezdirmekten mutlu olurum.,Size etrafı gezdirmekten mutluluk duyarım.,tat,2,2,3
Bende o şekilde işe yaramıyor.,Bu iş bana göre değil.,tat,-1,2,0
BBC mi yoksa CNN mi izliyorsun?,BBC ya da CNN izliyor musun?,tat,1,1,2
Bana hem elbiseler hem de yiyecek verdi.,Bana yemek kadar kıyafet de verdi.,tat,1,1,2
Tom boğazıma bir bıçak soktu.,Tom boğazıma bıçak dayadı.,tat,1,2,1
Tom bana istediğim her şeyi vermeye söz verdi.,Tom istediğim her şeyi vereceğine söz verdi.,tat,2,2,3
Sami bir sigara için dışarı çıktı.,Sami sigara içmek için kaçtı.,tat,3,3,3
Tom'un adını listeye koyalım.,Tom'un adını listeye ekleyelim.,tat,3,3,3
Şu anda ne istiyorsun?,Şimdi ne istiyorsun?,tat,3,3,3
Tekrar ne zaman buluşabiliriz?,Bir daha ne zaman görüşebiliriz?,tat,3,3,3
Ne işler çevirdiğini biliyorum.,Neyin peşinde olduğunu biliyorum.,tat,3,3,3
Tom hiç tehlikeli görünmüyordu.,Tom hiç de tehlikeli görünmüyordu.,tat,3,3,3
Tom'un bunu yapacak yeteneği olduğunu sanmam.,Tom'un bunu yapabilecek yeteneğe sahip olduğundan şüpheliyim.,tat,3,3,3
